"Nombres","","",""
"Nombre","Sexo","Origen y Comentarios",""
"Eadberto","M","ORIGEN:TEUTON---SIGNIFICADO:DESTACADO POR SU RIQUEZA--GENERO:MASCULINO",""
"Eadmundo","M","",""
"Eadoin","M","",""
"Ealsa","F","",""
"Eamon","M","",""
"Eanwinda","F","",""
"Earl","M","",""
"Eartha","F","",""
"Easter","F","",""
"Eaton","M","",""
"Eavan","A","",""
"Ebal","M","",""
"Ebele","F","",""
"Eber","F","ORIGEN:HEBREO---SIGNIFICADO: LOS DEL MAS ALLA,EN LA GENEALOGIA BIBLICAPADRE DE PELEG,DEL CUAL PROCEDEN LOS ARAMEOS Y HEBREOS---GENERO:FEMENINO.",""
"Eberardo","M","ORIGEN:GERMANICO---SIGNIFICADO: AUDAZ COMO EL JABALI,FUERTE COMO ELOSO.ENTRE LOS SANTOS UN ABAD SUIZO DE EINSIEDELN (SIGLO X) NOMBRE:CO-MUN----GENERO:MASCULINO",""
"Ebiciaro","M","",""
"Ebon","M","",""
"Ebony","F","",""
"Ebrulfo","M","",""
"Ece","F","",""
"Echo","F","",""
"Eciar","M","",""
"Eda","F","",""
"Edan","M","",""
"Edana","F","",""
"Edberto","M","ORIGEN:GERMANICO SIGNIFICADO: EL QUE BRILLA CON SU ESPADA.MONJE IRLANDES DEL SIGLO VIII---CARACTERIZACION DEL NOMBRE:COMUN GENERO:MASCULI-NO.",""
"Edburga","F","ORIGEN:ANGLOSAJON---SIGNIFICADO: LA PROTECCION DE LA PROPIEDAD,LA SAN-TA DE ESTE NOMBRE ES HIJA DE EDUARDO I Y REINA DE INGLATERRA---GENERO:FEMENINO",""
"Edda","F","ORIGEN:ALEMAN---SIGNIFICADO: BISABUELA--NOMBRE:COMUN---GENERO:FEMENINO",""
"Eddie","A","",""
"Eddine","M","",""
"Edelba","F","",""
"Edelburga","F","ORIGEN:ANGLOSAJON---SIGNIFICADO: ESTIRPE NOBLE,AMPARO DE LA NOBLEZA,HIJA DE SAN EDELBERTO (SIGLO VII)---GENERO:FEMENINO.",""
"Edelia","F","SIGNIFICADO: VARIANTE DE ADELA EN SU FORMA ANGLOSAJONA ETHEL--GENERO:FEMENINO",""
"Edelina","F","",""
"Edeline","F","",""
"Edelira","F","",""
"Edelma","F","",""
"Edelmar","M","",""
"Edelmira","F","",""
"Edelmiro","M","ORIGEN:GERMANICO---SIGNIFICADO: CELEBRE POR LA NOBLEZA QUE REPRESENTAVARIANTE DE ADELMARO,EL NOMBRE DALMIRA ES AFERESIS DE EDELMIRA---GENERO:MASCULINO----VARIACION DE GENERO: EDELMIRA.",""
"Edeltruda","F","ORIGEN:ANGLOSAJON----SIGNIFICADO:AMADA POR SU NOBLEZA,LA DIFUSION DEESTE NOMBRE SE DEBE A LA REINA NORTHUMBRIA,FUNDADORA DEL CONVENTO DEELY----GENERO:FEMENINO",""
"Edelvais","F","",""
"Edelweiss","F","",""
"Eden","A","",""
"Edena","F","",""
"Edesio","M","",""
"Edeso","M","",""
"Edgar","M","ORIGEN:GERMANICO---SIGNIFCADO: QUE DEFIENDE SUS BIENES CON LA LANZANOMBRE:COMUN---GENERO:MASCULINO",""
"Edgarda","F","",""
"Edgardo","M","ORIGEN:TEUTON---SIGNIFICADO: EL QUE DEFIENDE SUS DOMINIOS CON LA LANZAVARIANTE DE EDGAR CON LA TERMINACION ""DO"" POR ATRACCION DE EDUARDO,RI-CARDO...NOMBRE:COMUN---GENERO:MASCULINO---VARIACION DE GENERO:EDGARDA.",""
"Edie","F","",""
"Edilberto","M","",""
"Edilburga","F","SIGNIFICADO:VARIANTE DE EDILBURGA---GENERO:FEMENINO",""
"Edilia","F","ORIGEN:GRIEGO---SIGNIFICADO: ES COMO UNA ESTATUA---GENERO:FEMENINO---VARIACION DE GENERO: EDILIO.",""
"Edilio","M","",""
"Edilma","F","",""
"Ediltrudis","F","",""
"Edipo","M","ORIGEN:GRIEGO---SIGNIFICADO: QUE TIENE LOS PIES HINCHADOS,HIJO DE LAYOY LOCASTAY,POR TANTO,NIETO DE LABDACO--SU ASCENDENCIA SE REMONTA HASTAEL PROPIO CADMO,FUNDADOR DE TEBAS---NOMBRE:COMUN---GENERO;MASCULINO.-",""
"Edison","M","",""
"Edistio","M","",""
"Edit","F","",""
"Edita","F","ORIGEN:ANGLOSAJON---SIGNIFICADO: LA LUCHA POR LA RIQUEZA--RICA Y PODE-ROSA-SANTA EDITA,HIJA DEL REY DE INGLATERRA EDGARDO---GENERO:FEMENINO.",""
"Edith","F","ORIGEN:GODO---SIGNIFICADO:LA MUJER NOBLE,QUE TIENE POSESIONES,DOMINIOSNOMBRE:COMUN----GENERO;FEMENINO.",""
"Edlyn","A","",""
"Edmee","F","",""
"Edmundo","M","ORIGEN:GERMANICO---SIGNIFICADO: QUE PROTEGE SU RIQUEZA---NOMBRE:COMUN-GENERO:MASCULINO",""
"Edna","F","ORIGEN:HEBREO---SIGNIFICADO: REJUVENECIMIENTO,DELICIA COMO EDEN,VARIE-DAD FEMENINA DE EDMUNDO---GENERO:FEMENINO.",""
"Edouard","M","",""
"Edria","F","",""
"Edsel","M","",""
"Edson","M","",""
"Eduarda","F","ORIGEN:ANGLOSAJON---FEMENINO DE ""EDUARDO""",""
"Eduardo","M","ORIGEN:ANGLOSAJON---SIGNIFICADO:RIQUEZA-PROPIEDAD-GUARDIAN-EL GUARDIANDE LA RIQUEZA-SAN EDUARDO,EL MARTIR (REY DE INGLATERRA EN EL SIGLO X)ESTE ES UNO DE LOS POCOS NOMBRES INGLESES CON DIFUSION INTERNACIONAL--",""
"Edurne","F","ORIGEN:VASCO---SIGNIFICADO: NIEVE,DIMINUTIVO DE NIEVES---GENERO:FEMENINO.",""
"Eduviges","F","ORIGEN:GERMANICO SIGNIFICADO: LA QUE LUCHA,SANTA EDUVIGES HIJA DESANTA IDA,FLORECIO EN EL SIGLO IX--CARACTERIZACION DEL NOMBRE: COMUNGENERO: FEMENINO---EDUVIGIS---EDUVIGES.",""
"Eduvigis","F","ORIGEN:GERMANICO---SIGNIFICADO: LA QUE LUCHA,SANTA EDUVIGES,HIJA DESANTA IDA,FLORECIO EN EL SIGLO IX---NOMBRE:COMUN---GENERO:FEMENINO.EDUVIGIS--EDUVIGES",""
"Eduvina","F","",""
"Edward","M","",""
"Edwardo","M","",""
"Edwin","M","",""
"Edwina","F","",""
"Edythe","F","",""
"Efebo","M","",""
"Effie","F","",""
"Efigenia","F","SIGNIFICADO: VARIANTE DE ""IFIGENIA""---GENERO:FEMENINO---VARIACION DEGENERO: EFIGENIO.",""
"Efisio","M","ORIGEN:LATINO---SIGNIFICADO:HABITANTE DE EFESO,CIUDAD JONIA-SAN EFISIOFUE UN SOLDADO MARTIRIZADO EN CAGLIARI (SIGLO III)---GENERO:MASCULINO.",""
"Efraim","M","ORIGEN :HEBREO SIGNIFICADO: MUY FRUCTIFERO,DOBLEMENTE FRUCTIFERO,SE-GUNDO HIJO DE JOSE Y ASENAT EN LA GENEALOGIA BIBLICA. CARACTERIZACIONDEL NOMBRE:COMUN GENERO:MASCULINO",""
"Efrain","M","",""
"Efrat","M","",""
"Efrath","F","",""
"Efrem","M","SIGNIFICADO:VARIANTE DE EFRAIM-SAN EFRAM,OBISPO DE CARIA EN EL SIGLO V--GENERO:MASCULINO.",""
"Efren","M","ORIGEN:HEBREO---SIGNIFICADO: EL QUE FRUCTIFICA,EL QUE DA FRUTOS---GENERO:MASCULINO",""
"Egan","M","",""
"Egberto","M","ORIGEN:GERMANICO---SIGNIFICADO:BRILLANTE POR SU ESPADA--- GENERO:MASCULINO.",""
"Egduno","M","",""
"Egeo","M","ORIGEN:GRIEGO---SIGNIFICADO: DE LA UNION DE PANDION CON PILA,HIJA DELREY PILAS,NACE EGEO,AL IGUAL QUE SUS HERMANOS EN MEGARA---GENERO:MASCULINO.",""
"Egidio","M","ORIGEN:GRIEGO---SIGNIFICADO: DEL BAJO LATIN ""AEGEDIUS"",SEGUN LA ETIMO-LOGIA POPULAR SIGNIFICA EL PROTEGIDO,EL DEFENDIDO,EL QUE TRANSPORTA ENLA BATALLA EL ESCUDO DE PIEL DE CABRA-EN EL SANTORAL,UN ERMITA¥O PRO-",""
"Egipciaca","F","",""
"Egisto","M","ORIGEN:GRIEGO---SIGNIFICADO:CRIADO CON LA LECHE DE CABRA,EN LA MITOLO-GIA,EL AMANTE DE CLITEMESTRA Y EL ASESINO DE AGAMENON,MUERTO A SU VEZPOR ORESTES---GENERO:MASCULINO.",""
"Egle","F","ORIGEN:GRIEGO---SIGNIFICADO: BRILLO DEL SOL,LA ESPLENDOROSA,UNA DE LASLLAMADAS HELIADES (HIJAS DEL SOL) MADRE DE LAS GRACIAS--GENERO:FEMENI-NO.",""
"Egmidio","M","",""
"Egon","M","ORIGEN:LATINO---SIGNIFICADO:HABITANTE DE EFESO,CIUDAD JONIA,SAN EFISIOFUE UN SOLDADO MARTIRIZADO EN CAGLIARI (SIGLO III) GENERO:MASCULINO.-",""
"Eial","M","",""
"Eibe","M","",""
"Eiichi","M","",""
"Eileen","F","",""
"Eilene","F","",""
"Eimi","F","",""
"Einar","M","",""
"Einat","F","",""
"Eira","F","",""
"Eirene","F","",""
"Eitan","M","",""
"Eitel","M","",""
"Eithan","M","",""
"Ekaterina","F","",""
"Ela","F","ORIGEN:HEBREO---SIGNIFICADO: SU SIGNIFICADO ES DESCONOCIDO-CUARTO REYDE ISRAEL,HIJO DE BASA REY CONTEMPORANEO EN JUDA----GENERO:MASCULINO.",""
"Eladia","F","",""
"Eladio","M","ORIGEN:GRIEGO---SIGNIFICADO: ARROGANTE-EL QUE HA NACIDO Y VIVIDO ENGRECIA--VARIANTE DE HELADIO--NOMBRE:COMUN---GENERO:MASCULINO----VARIACION DE GENERO: ELADIA.",""
"Elaine","F","",""
"Elais","F","",""
"Elal","A","",""
"Elata","F","",""
"Elazar","M","",""
"Elba","F","ORIGEN:GERMANICO---SIGNIFICADO: ALTA,LA QUE VIENE DE LA MONTA¥A,SANTAELBA,ABADESA DE ESCOCIA----NOMBRE:COMUN---GENERO;FEMENINO---VARIACIONDE GENERO: ELBIO.",""
"Elbia","F","",""
"Elbio","M","ORIGEN:CELTICO---SIGNIFICADO: QUE SOBRESALE POR SU ALTURA---NOMBRE:CO-MUN---GENERO: MASCULINO---VARIACION DE GENERO: ELBIA-ELBA.",""
"Elcira","F","ORIGEN:TEUTON---SIGNIFICADO: EL NOBLE ADORNO,DERIVADO DE ALCIRA---GENERO:FEMENINO",""
"Elda","F","ORIGEN:TEUTON---SIGNIFICADO: LA QUE BATALLA,VARIANTE ITALIANA DE HILDAGENERO;FEMENINO",""
"Elden","M","",""
"Eldon","M","",""
"Eldora","F","",""
"Elea","F","",""
"Eleana","F","",""
"Eleanor","F","",""
"Eleazar","M","ORIGEN:HEBREO--SIGNIFICADO: DIOS HA AYUDADO ,CABEZA DE ESTIRPE SACERDOTAL DE SU NOMBRE Y CUYA TUMBA SE SE¥ALABA EN LAS MONTA¥AS DE EFRAN---GENERO:MASCULINO.",""
"Eleazaro","M","ORIGEN: HEBREO SIGNIFICADO; DIOS ES MI SOCORRO,DIOS ME AYUDARA ALQUE DIOS AUXILIA CUANDO PELIGRA.-CARACTERIZACION DEL NOMBRE:COMUNGENERO:MASCULINO.",""
"Electra","F","ORIGEN:GRIEGO---SIGNIFICADO: AMBAR-BRILLANTE-HIJA DE OCEANO Y DE TETISQUE UNIDA A TAUMANTE-EL HIJO DE PONTO Y GEA,ENGENDRO A IRIS Y A LASHARPIAS AELO Y OCIPITE---GENERO;FEMENINO.",""
"Elek","M","",""
"Elena","F","ORIGEN:GRIEGO----SIGNIFICADO:ANTORCHA,COMO LA AURORA DE BELLA,EL RES-PLANDOR DEL SOL,DE LA RAIZ INDOEUROPEA"" SUEL"" :ARDER NOMBRE:COMUN----GENERO:FEMENINO.",""
"Eleni","F","",""
"Elenio","M","",""
"Eleno","M","",""
"Eleodoro","M","ORIGEN:GRIEGO---SIGNIFICADO: LLEGADO DEL SOL,COMO EL SOL.GENERO:MASCULINO----VARIACION DE GENERO:ELEODORA.",""
"Eleonor","F","ORIGEN:PROVENZAL----SIGNIFICADO:VARIANTE DE ELENA---GENERO:FEMENINO",""
"Eleonora","F","SIGNIFICADO: VARIANTE DE ELENA---GENERO:FEMENINO.",""
"Eleora","F","",""
"Eleuteria","F","ORIGEN: GRIEGO--SIGNIFICADO: DIOSA DE LA LIBERTAD,SAN ELEUTERIO PAPAMARTIR CARACTERIZACION DEL NOMBRE:COMUN VARIACION DE GENERO:ELEUTERIO",""
"Eleuterio","M","",""
"Elfrida","F","",""
"Elhanan","M","",""
"Eli","M","ORIGEN:HEBREO--SIGNIFICADO:YAHVEH ES GRANDE,ALTURA,EXALTADO,SUBLIME-SACERDOTE EN EL SANTUARIO DE ARCA,EN SILO,RELACIONADO CON LA HISTORIADE LA JUVENTUD DE SAMUEL Y LAS GUERRAS DE LOS FILISTEOS---GENERO:FEME-",""
"Elia","F","",""
"Eliab","M","",""
"Eliahu","M","",""
"Eliam","M","",""
"Elian","M","",""
"Eliana","F","ORIGEN:LATINO----SIGNIFICADO:PATRONIMICO LATINO DEL GRIEGO SOL,PERTENECIENTE AL SOL,VARIEDAD DE ELIO---NOMBRE:COMUN---GENERO:FEMENINO---VARIACION DE GENERO: ELIANO.",""
"Eliane","F","",""
"Elias","M","ORIGEN:HEBREO---SIGNIFICADO: YAHVEH ES DIOS,DIOS ME DOMINA,FUE EL SAL-VADOR DE LA RELIGION DE YAHVEHY SU POPULARIDAD LLEGO A SER LEGENDARIAVIVIO EN EL TIEMPO DEL REY AJAB---NOMBRE:COMUN--GENERO:MASCULINO.",""
"Elicio","M","",""
"Elida","F","SIGNIFICADO;VARIANTE DE ""ALIDA""---GENERO:FEMENINO---VARIACION DE GENERO:ELIDO.",""
"Elide","F","",""
"Elido","M","",""
"Elie","F","",""
"Eliecer","M","",""
"Eliel","M","",""
"Eliezer","M","ORIGEN:HEBREO----SIGNIFICADO: MI DIOS ES AYUDA,VARIEDAD DE ""ELEAZARIO""GENERO:MASCULINO",""
"Eligio","M","ORIGEN:LATINO---SIGNIFICADO: DEL LATIN ""ELIGIUS"",EL ELEGIDO DE DIOS,VARIEDAD DE ELOY--NOMBRE:COMUN---GENERO:MASCULINO----VARIACION DE GENERO:ELIGIA.-",""
"Elijah","M","",""
"Elilia","F","",""
"Elimelej","M","",""
"Elimenas","M","",""
"Elin","F","",""
"Elina","F","SIGNIFICADO: DERIVADO DE ELENA,LA AURORA---NOMBRE:COMUN---GENERO:FEMENINO.-",""
"Elio","M","ORIGEN:LATINO---SIGNIFICADO:REY QUE AMA EL AIRE,VARIANTE DE HELIO----NOMBRE:COMUN----GENERO:MASCULINO.",""
"Eliot","M","",""
"Eliott","M","",""
"Elis","F","",""
"Elisa","F","ORIGEN: HEBREO--SIGNIFICADO: DIOS LO ES TODO,EL JURAMENTO DE DIOS,VARIEDAD DE ISABEL--CARACTERIZACION DEL NOMBRE:COMUN GENERO:FEMENINO",""
"Elisabet","F","",""
"Elisabeth","F","",""
"Elisabetta","F","",""
"Elisandro","M","",""
"Elise","F","",""
"Elisea","F","",""
"Elisenda","F","",""
"Eliseo","M","ORIGEN:HEBREO---SIGNIFICADO: DIOS HA AYUDADO,DIOS CUIDA MI SALUD,ELPROFETA,HEREDERO ESPIRITUAL DE ELIAS,ELISEO EQUIVALE A JOSUE Y A JESUSNOMBRE:COMUN---GENERO:MASCULINO---VARIACION DE GENERO; ELISEA.",""
"Elisheba","F","",""
"Elisheva","F","",""
"Elisio","M","",""
"Eliska","F","",""
"Elissa","F","",""
"Elita","F","",""
"Eliza","F","",""
"Elizabeth","F","ORIGEN:HEBREO---SIGNIFICADO:CONSAGRADA A DIOS,VARIANTE GRAFICA INGLESADE ""ISABEL"",HIPOCORISTICO LILIBET-LIZ-LIZZIE-BESS-BESSIE-BETH-BETSY-BETTY---ITALIANO:ELISABETTA- ALEMAN:ELIZABETH-ELISE-ELSE-ELIS-BETTY-LI",""
"Eljanan","M","",""
"Elka","F","",""
"Elkan","M","",""
"Elke","F","",""
"Ella","F","",""
"Ellema","F","",""
"Ellery","M","",""
"Ellie","F","",""
"Elliot","M","",""
"Ellis","A","",""
"Elma","F","SIGNIFICADO: ABREVIACION DE GUILLERMINA---GENERO:FEMENINO.",""
"Elmina","F","",""
"Elmo","M","",""
"Elodia","F","ORIGEN:GRIEGO---SIGNIFICADO: RIVERA-VEGA-PANTANO--- PUEDE SER TAMBIENNOMBRE DE FLOR:ELODEA,ESPECIE DE TOMILLO ACUATICO,LA QUE TIENE TODA LARIQUEZA DE LA ZONA---NOMBRE:COMUN---GENERO:FEMENINO.",""
"Elodie","F","",""
"Eloi","M","",""
"Eloisa","F","ORIGEN:TEUTON---SIGNIFICADO:LATINIZACION DEL FRANCES ""HELOISE""--FORMAFRANCESA DEL GERMANICO ""HELOWIDIS"",QUE SIGNIFICA ENTERO,COMPLETO,INCOLUME,LA GUERRERA QUE TIENE FAMA---NOMBRE:COMUN---GENERO:FEMENINO.",""
"Eloise","F","",""
"Eloy","M","",""
"Elpidio","M","ORIGEN:GRIEGO---SIGNIFICADO:ESPERANZADO,ENTRE LOS SANTOS DE ESTE NOM-BRE,UN ABAD DE ANCONA EN EL SIGLO V.---NOMBRE:COMUN---GENERO:MASCULINO",""
"Elsa","F","ORIGEN:INGLES---SIGNIFICADO: VARIANTE GERMANICA DE ELISA O ELISABETH,APOCOPE DE ELIZABETH---NOMBRE:COMUN---GENERO:FEMENINO",""
"Else","F","",""
"Elsio","M","",""
"Elsira","F","",""
"Elton","M","",""
"Elu","F","",""
"Eluhuei","A","",""
"Eluney","A","",""
"Elvia","F","ORIGEN: LATINO SIGNIFICADO: DE COLOR AMARILLO ESPOSA DE SENECA ELRETORICO--CARACTERIZACION DEL NOMBRE:COMUN ---GENERO:FEMENINO.VARIA-CION DE GENERO:ELVIO",""
"Elvin","M","",""
"Elvina","F","",""
"Elvio","M","",""
"Elvira","F","ORIGEN:GERMANICO---SIGNIFICADO:DE AFABLE ALEGRIA,LA SE¥ORA PRINCESA-DEBE SU DIFUSION EN ESPA¥A A LAS RUINAS DE ESTE NOMBRE---NOMBRE:COMUN-GENERO:FEMENINO",""
"Elvis","M","",""
"Ely","A","",""
"Elysia","F","",""
"Ema","F","ORIGEN:GERMANICO---SIGNIFICADO:HIPOCORISTICOS DE NOMBRES CUYO PRIMERELEMENTO ERA""ERMIN"",""IRMIN""--SU VALOR SEMANTICO SERIA FUERZA---NOMBRE:COMUN---GENERO:FEMENINO-HIPOCORISTICO-",""
"Emanuel","M","SIGNIFICADO: VARIANTE DE MANUEL---NOMBRE:COMUN---GENERO:MASCULINO---VARIACION DE GENERO: EMANUELA.",""
"Emanuela","F","",""
"Emanuele","M","",""
"Ember","F","",""
"Emelia","F","SIGNIFICADO: EMELI ES EL APOCOPE DEL NOMBRE DEL SANTORAL,SANTA EMELIAMARTIR,NACIO EN CAPADOCIA Y MURIO EN LA PROVINCIA ROMANA DEL PONTO EN373---GENERO:FEMENINO",""
"Emelie","F","",""
"Emelina","F","ORIGEN:GRIEGO---SIGNIFICADO: ARMONIA-AFINACION EN LOS ACORDES DEL CANTO--ES DERIVADO DE ""IRMA""---NOMBRE:COMUN---GENERO;FEMENINO",""
"Emerald","F","",""
"Emerenciano","M","ORIGEN:LATINO--SIGNIFICADO: DEL LATIN""EMERENTIANUS"",PATRONIMICO DE""EMERENTIUS"",DERIVADO DE ""EMERENS"": MERECER,ADQUIRIR UN DERECHO SOBREALGO--CARACTERIZACION DEL NOMBRE:COMUN--GENERO:MASCULINO--VARIACION",""
"Emerio","M","",""
"Emerita","F","ORIGEN:LATINO---SIGNIFICADO:DEL LATIN ""EMERITA"",FEMENINO DE EMERITUS,QUE SIGNIFICA ""SOLDADO EMERITO"",VIRGEN ROMANA MARTIRIZADA CON SANTADIGNA(SIGLO III),LA QUE RECIBE LA RECOMPENSA DE DIOS POR SUS VIRTUDES-",""
"Emerson","M","",""
"Emery","M","",""
"Emeterio","M","ORIGEN:GRIEGO----SIGNIFICADO: MEDIA FIERA-SEMI LEON,EL QUE MERECE CARI¥O,EL QUE ES COMO NOSOTROS,SAN EMETERIO,SOLDADO MARTIR EN CALAHORRA(LOGRO¥O) A FINES DEL SIGLO III---NOMBRE:COMUN---GENERO;MASCULINO",""
"Emi","F","",""
"Emigdio","M","ORIGEN:GRIEGO---SIGNIFICADO: DE PIEL MORENA---GENERO:MASCULINO.",""
"Emil","M","",""
"Emilce","F","",""
"Emilda","F","",""
"Emilia","F","",""
"Emiliana","F","",""
"Emiliano","M","SIGNIFICADO:VARIEDAD DE EMILIO---NOMBRE:COMUN----GENERO:MASCULINO-----VARIACION DE GENERO:EMILIANA.",""
"Emilie","F","",""
"Emilio","M","ORIGEN:LATINO---SIGNIFICADO:DEL LATIN ""AEMILIUS"",NOMBRE DE UNA GENS ROMANA,EL QUE SE ESFUERZA EN EL TRABAJO,EL TRABAJADOR AUDAZ---HAY QUE RECHAZAR LA VIEJA ETIMOLOGIA GRIEGA DE AMABLE,GRACIOSO AFABLE---NOMBRE:",""
"Emilse","F","",""
"Emily","F","",""
"Emir","M","",""
"Emiri","F","",""
"Emma","F","",""
"Emmanuel","M","ORIGEN:HEBREO---SIGNIFICADO: DIOS CON NOSOTROS,ES EL NOMBRE SIMBOLICODEL MESIAS:""HE AQUI QUE LA VIRGEN CONCIBE Y DA A LUZ UN HIJO Y LE DARAPOR NOMBRE EMMANUEL""---NOMBRE:COMUN---GENERO:MASCULINO.",""
"Emmanuelle","F","",""
"Emmett","M","",""
"Emperatriz","F","ORIGEN:LATINO---SIGNIFICADO: SOBERANA-JEFE,COMO NOMBRE DE PILA PARECEUN SUPERLATIVO DE REINA---- GENERO:FEMENINO.",""
"Ena","F","",""
"Enadio","M","",""
"Enara","F","",""
"Encarnacion","F","SIGNIFICADO:NOMBRE MISTICO QUE SE REFIERE AL MISTERIO CRISTIANO DELVERBO QUE SE HACE CARNE--LATIN ECLESIASTICO INCARNATIO DE ""IN"": EN Y""CARO"",CARNIS:CARNE-ES DECIR, PEDAZO DE CARNE,ABREVIATURA ENCARNA---",""
"Endora","F","",""
"Eneas","M","ORIGEN:GRIEGO---SIGNIFICADO:EL QUE ES ALABADO,HEROE GRIEGO,NOMBRE DEUN ENFERMO HELENISTA A QUIEN PEDRO EN LIDDA CURO DE UNA PARALISIS QUELE HABIA DURADO 8 A¥OS---NOMBRE:COMUN--GENERO:MASCULINO.",""
"Enedina","F","",""
"Eneida","F","ORIGEN:LATINO---SIGNIFICADO: DEL LATIN ""AENEIS""DEL FAMOSO POEMA EPICODE VIRGILIO,CUYO HEROE ES ENEAS---GENERO:FEMENINO.",""
"Enelsa","F","",""
"Eneo","M","",""
"Eneyen","A","",""
"Engelberto","M","ORIGEN:GERMANICO---SIGNIFICADO: EL BRILLO DE LOS ANGLOS,SAN ENGELBERTOOBISPO DE COLONIA EN EL SIGLO XIII---GENERO:MASCULINO.-",""
"Engracia","F","ORIGEN:LATINO----SIGNIFICADO: DEL LATIN IN GRATIA (DOMINI) ""LA QUE ES-TA EN LA GRACIA DEL SE¥OR""-EL QUE ES FELIZ CON LA PRESENCIA DE DIOS ENSU CUERPO-DAMA LUSITANA MARTIR DE ZARAGOZA,A PRINCIPIOS DEL SIGLO IV--",""
"Enid","F","",""
"Enio","M","SIGNIFICADO: DIVINIDAD SECUNDARIA DE LA GUERRA--EN ROMA FUE IDENTIFICADA CON BELONA----GENERO:MASCULINO",""
"Ennata","F","",""
"Ennio","M","",""
"Ennis","M","",""
"Enoc","M","",""
"Enoch","M","ORIGEN:HEBREO---SIGNIFICADO: CONSAGRACION-CONSAGRADO A DIOS-PERSONAJEBIBLICO PADRE DE MATUSALEN----GENERO:MASCULINO",""
"Enodio","M","",""
"Enola","F","",""
"Enrica","F","",""
"Enrico","M","",""
"Enrique","M","ORIGEN:GERMANICO---SIGNIFICADO: SE¥OR DEL SOTO,PROVENIENTE DEL ALEMANANTIGUO ""HAIMRICH"" DE ""HAIM"":PATRIA,ENRIQUE II EMPERADOR DE ALEMANIA,EL PRINCIPE EN SU TIERRA.----NOMBRE:COMUN---GENERO:MASCULINO---- VARIA",""
"Enriqueta","F","",""
"Enuel","M","",""
"Enya","F","",""
"Enyeto","M","",""
"Enzo","M","ORIGEN:LATINO---GENERO:MASCULINO",""
"Eoin","M","",""
"Eolo","M","",""
"Ephraim","M","",""
"Epicuro","M","ORIGEN:GRIEGO---SIGNIFICADO: QUE VIENE EN SOCORRO---GENERO:MASCULINO",""
"Fabia","F","",""
"Fabian","M","ORIGEN:LATINO---SIGNIFICADO:EL QUE CUMPLE---NOMBRE:COMUN---GENERO:MASCULINO",""
"Fabiana","F","",""
"Fabiano","M","MARTIR,FESTIV.16 DE OCTUBRE.",""
"Fabiela","F","",""
"Fabienne","F","",""
"Fabio","M","ORIGEN:LATINO---SIGNIFICADO: QUE PERTENECE A LA FAMILIA FABIA,EL QUECULTIVA LAS HABAS---NOMBRE:COMUN--GENERO:MASCULINO----VARIACION DE GENERO: FABIANA--FABIA--FABIOLA",""
"Fabiola","F","ORIGEN: LATINO---SIGNIFICADO: DEL LATIN ""FABA"":HABA--SANTA FABIOLA MA-TRONA ROMANA DEL SIGLO IV---GENERO:FEMENINO--VARIACION DE GENERO:FABIO",""
"Fabriccio","M","",""
"Fabriciano","M","MARTIR FESTIV.22 DE AGOSTO--ORIGEN:LATINO---SIGNIFICADO: DEL LATIN""FABRICIANUS"",PATRONIMICO DE FABRICIUS,MARTIR ESPA¥OL DEL SIGLO IV---GENERO:MASCULINO",""
"Fabricio","M","ORIGEN:LATINO---SIGNIFICADO: DEL LATIN ""FABRICIUS"":OBRERO,EL QUE FABRICA,EL HIJO DEL ARTESANO---NOMBRE:COMUN---GENERO:MASCULINO--VARIACIONDE GENERO:FABRICIA.",""
"Fabrizio","M","",""
"Facundo","M","ORIGEN:LATINO---SIGNIFICADO: DEL LATIN ""FACUNDUS"",ABUNDANTE,AFLUENTEEN EL HABLAR-EL QUE DICE DISCURSOS QUE CONVENCEN,EL ELOCUENTE,SAN FA-CUNDO,MARTIR LEONES DEL SIGLO IV---NOMBRE:COMUN---GENERO:MASCULINO---",""
"Fadrique","M","SIGNIFICADO: VARIEDAD DE FEDERICO---GENERO:MASCULINO",""
"Fadua","F","",""
"Fady","M","",""
"Fagan","M","",""
"Fai","M","",""
"Fairfax","M","",""
"Fairuz","F","",""
"Faisal","M","",""
"Faith","F","",""
"Faizah","F","",""
"Fala","F","",""
"Falco","M","",""
"Falcon","M","",""
"Fallon","F","",""
"Fandilas","M","MONJE MARTIR FESTIV. 13 DE JUNIO",""
"Fanny","F","ORIGEN:INGLES---SIGNIFICADO:VARIANTE DE FRANCISCA---DIMINUTIVO DE ESTEFANIA---NOMBRE:COMUN---GENERO:FEMENINO",""
"Fantine","F","",""
"Fantino","M","ORIGEN:LATINO---SIGNIFICADO: EL INFANTIL-INOCENTE---GENERO:MASCULINO--CONFESOR,FESTIV. 30 DE AGOSTO",""
"Fara","F","ORIGEN:PERSA Y MUSULMAN---SIGNIFICADO: ANTIGUA CIUDAD MESOPOTAMICA,CIUDAD DE AFGANISTAN---GENERO:FEMENINO",""
"Farah","F","",""
"Faraj","M","",""
"Faraon","M","ORIGEN: EGIPCIO---SIGNIFICADO: DEL BAJO LATIN"" PHARAO "" A SU VEZ DELGRIEGO Y DEL HEBREO,DOBLE PALACIO-EL HABITANTE DEL GRAN PALACIO,ERA U-NO DE LOS APELATIVOS QUE USABAN LOS EGIPCIOS PARA NO NOMBRAR AL SOBERA",""
"Faren","F","",""
"Farica","F","",""
